Codigo_Dane_Institucion_Inicial,2019,2020,2021,2022,2023,2024,Codigo_Dane_Institucion_Final,Id,Año_Vigencia,Id_Codigo_Dane_Institucion,Id_Codigo_Dane_Sede,Id_consecutivosede,Nombre_Establecimiento,Nombre_Sede_SIMAT,Comuna,Nucleo,Estrato,Id_genero,Poblacion_Victima,Id_Discapacidad,Id_Capacidades,Id_Etnias,Id_Jornada,Id_Caracter,Id_especialidad,Id_grado,Grupo,Id_nivel,Id_metodologia,Repitente,Nuevo,Id_fuenterecursos,Id_zona,Id_apoyoacademico,Id_srpa,Id_paisorigen,Id_trastornosespecificios
1.66001E+11,6,8,10,11,999,999,999,12633597,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,1,1,9,8,9,0,3,0,0,6,602,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,6,7,8,999,999,999,14160862,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E PABLO EMILIO CARDONA,I.E PABLO EMILIO CARDONA,26,4,2,1,9,99,9,0,3,0,0,6,B,6,1,N,N,1,1,1,1,0,0
2.66001E+11,6,999,999,999,999,999,999,15108582,2019,2.66001E+11,1.66002E+11,2.66001E+13,I.E CARLOS EDUARDO  VASCO,SALAMANCA,23,2,2,2,9,99,9,0,6,0,0,6,602,6,1,N,N,1,1,0,0,0,0
2.66001E+11,6,999,999,9,999,999,999,15782558,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E SAN JOAQUIN,I.E SAN JOAQUIN,27,2,2,1,9,99,9,200,3,0,0,6,602,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,24,26,999,999,999,999,15920825,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,1,2,9,18,9,0,2,0,0,6,CMR1,6,29,N,S,1,1,0,0,0,0
1.66001E+11,6,7,8,9,10,11,1.66001E+11,17899240,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E TECNICO SUPERIOR,I.E TECNICO SUPERIOR,30,3,2,1,9,99,9,0,2,0,0,6,604,6,1,N,S,1,1,0,0,0,0
1.66001E+11,6,7,999,999,999,10,1.66001E+11,18327285,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E VILLA SANTANA,I.E VILLA SANTANA,31,7,2,2,9,99,9,0,3,0,0,6,602,6,1,N,N,1,1,0,0,0,0
1.66001E+11,6,7,7,999,999,999,999,18567833,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,1,9,99,9,0,6,0,0,6,601,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,7,8,9,10,11,1.66001E+11,18893069,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E PABLO EMILIO CARDONA,I.E PABLO EMILIO CARDONA,26,4,2,1,9,99,9,0,3,0,0,6,C,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,7,999,999,999,999,999,18915126,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E ALFREDO GARCIA,I.E ALFREDO GARCIA,26,4,2,2,9,99,9,0,6,0,0,6,602,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,9,999,999,999,999,999,19885610,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,1,2,9,99,9,0,2,0,0,6,CMR1,6,29,N,S,1,2,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,20625285,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E FRANCISCO DE PAULA SANTANDER,I.E FRANCISCO DE PAULA SANTANDER,32,7,1,2,9,99,9,0,6,0,0,6,6CM1,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,6,7,8,24,999,999,21214604,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,1,1,9,99,9,0,2,0,0,6,601,6,1,N,S,1,1,0,0,0,0
2.66001E+11,6,7,8,9,10,11,2.66001E+11,21418426,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E EL PITAL,I.E EL PITAL,8,5,3,1,9,8,9,0,6,0,0,6,602,6,1,N,S,1,1,1,1,0,0
